,Rendement,Volatility,Risk,Value-risk,Sharpe,skewness,Kurtosis,drawdown,volume
ASSAD,-0.014240982303312904,6.6485451761102725,13.6266441711054,6.1,5.106528888526556,-0.3187546248680085,-0.3137349590809735,-0.8788898173053071,16273.49004594181
TGH,0.21199193804828956,8.661776416539071,278.3616539918102,6.24,6.652825591972944,-0.2677982014760268,-0.6294247187865025,-0.9975795733295536,17972.954058192954
AL,-0.0438372748472269,12.719234303215918,500.51029585127833,9.0,9.769225550680495,0.9984174492392216,0.4646522572777663,-0.652965906576485,18449.43032159265
UIB,0.03873874550719597,7.601271056661599,90.95180971960647,6.44,5.838286303571823,-0.0928930586623916,-0.09954030451053696,-0.9975795733295536,21520.704441041347
BH,0.19813867355773002,5.461378254211329,30.22487280336836,3.37,4.194705020056304,-0.17497171774780415,-1.358213665106941,-0.8788898173053071,22651.25727411945
BT,-0.012093098158732002,11.570719754977018,-1.6272433449263346,9.34,8.88708929919665,0.03895094955927368,0.2756068146863329,-0.9603502020068052,23016.78560490046
TAIR,0.3566813968821204,1.5851607963246774,74.50966274530684,0.69,1.217509873961239,-0.7829791510337234,0.17479470677541764,-0.9975795733295536,25907.60796324656
AST,0.17347928059163556,15.642434915773359,12.644777465702159,13.4,12.014439801253793,0.2353166256987043,1.2844511333808342,-0.8788898173053071,26466.390505359883
NBL,-0.1418355781957661,0.2981316998468593,7.677711986562931,0.22,0.2289851535225954,0.40214292880270175,-0.9076782726922171,-0.9975795733295536,27021.249617151607
LNDOR,-0.04068856104137758,1.0732618683001487,14.773416314306974,0.8,0.8243371429770704,0.21629694875919644,-0.4278879258754591,-0.99457445381599,46483.04594180705
SOTEM,0.1793999782551939,0.6141500765696986,14.451292032890922,0.42,0.4717084752861184,0.06722469685944739,0.08346862331808058,-0.9975795733295536,50230.823889739666
STEQ,0.2927393853515932,1.2263399693721535,23.87727506900458,0.55,0.9419113978883028,0.6666298831244164,-0.8274737595210864,-0.9975795733295536,59409.967840735066
ALKM,-0.11829179749522625,1.5404287901990852,-0.9358006359832868,1.08,1.1831526912285772,0.5898829688134913,-1.2267223274949852,-0.8788898173053071,125629.134762634
